id,tsneX,tsneY,pcaX,pcaY,somX,somY,umapX,umapY,aeX,aeY,start,active,color,kcolor2,kcolor3,kcolor4,kcolor5,kcolor6,kcolor7,kcolor8,kcolor20
2261,-23.811934258428998,-4.04836061557458,-54.2428706906568,-11.125039796346272,68.9655172413793,-63.44827586206897,-51.67463684082031,23.513832092285156,67.19999999999999,1.5999999999999943,2261000,1,black,green,yellow,red,green,purple,teal,purple,brown
2262,-30.78243570553876,-27.620681856997678,-33.999063496588285,36.53748594745103,57.93103448275863,35.86206896551724,-68.81877136230469,42.15021514892578,-59.2,20.799999999999997,2262000,1,black,green,green,yellow,red,blue,orange,yellow,black
2263,-47.92667176361047,-18.292171895021546,-42.21971519189468,31.277807172202557,5.517241379310349,80.0,-69.38487243652344,52.70243835449219,8.0,17.599999999999994,2263000,1,black,green,green,yellow,red,blue,orange,red,teal
2264,-36.04772551762667,-20.289697070247307,-32.678648257715295,42.66020889038556,24.827586206896555,63.448275862068954,-69.9714584350586,68.43910217285156,11.200000000000003,-49.6,2264000,1,black,green,green,yellow,red,blue,orange,yellow,black
2265,-15.080353504437653,25.603670132951024,-34.95509798422063,-3.170527457140267,49.65517241379311,-41.37931034482759,-39.355892181396484,-6.077171325683594,75.19999999999999,54.400000000000006,2265000,1,black,green,yellow,red,green,red,blue,purple,brown
2266,-12.574269117851799,-55.36203950694835,-48.91608281217936,-22.602455371454425,-30.344827586206897,77.24137931034483,-50.41119384765625,-7.77813720703125,11.200000000000003,-17.6,2266000,1,black,green,yellow,blue,green,purple,yellow,purple,black
2267,-27.06584651786453,-25.16926940762739,-37.80990600696878,15.957801799546743,16.551724137931032,44.13793103448276,-62.69546890258789,32.534507751464844,12.799999999999997,19.200000000000003,2267000,1,black,green,green,yellow,red,blue,orange,yellow,red
2268,3.787695633157597,5.2930926051277964,-38.7274720928598,-40.02049209407973,74.48275862068965,-66.20689655172414,-26.89093017578125,16.575950622558594,36.8,-59.2,2268000,1,black,green,yellow,blue,purple,purple,purple,teal,yellow
2269,-0.23203773875886213,-39.96070838486125,-44.46105686954787,-10.716620172500257,-8.275862068965523,60.68965517241378,-47.882667541503906,75.02328491210938,3.200000000000003,4.799999999999997,2269000,1,black,green,yellow,blue,purple,yellow,purple,teal,yellow
2270,-41.94185257843753,-48.40717822476134,-57.41615415840667,9.392474579632363,55.17241379310346,66.20689655172413,-67.04317474365234,7.776824951171875,70.4,-76.8,2270000,1,black,green,green,red,yellow,red,blue,brown,green
2271,-24.46644513651794,-10.533274608759797,-37.74810301428242,21.70009732978862,-16.551724137931032,-35.86206896551724,-52.19579315185547,70.5714111328125,-68.8,12.799999999999997,2271000,1,black,green,green,yellow,red,blue,orange,yellow,red
2272,-74.52270636170057,-27.807636685583745,-53.65590886522236,0.885502996737145,5.517241379310349,35.86206896551724,-51.25920867919922,26.43505096435547,-56.0,-35.2,2272000,1,black,green,green,red,yellow,orange,teal,green,teal
2273,-2.216744107628898,-57.48102689601946,-55.850447052630116,-26.51041957913123,-24.827586206896555,-57.93103448275862,-42.357425689697266,25.383026123046875,-62.4,-72.0,2273000,1,black,green,yellow,blue,purple,purple,purple,teal,purple
2274,-3.955390869766802,-43.42542681186196,-52.787685625497566,-15.502563612755438,63.448275862068954,-63.44827586206897,-47.78250503540039,17.957115173339844,-28.799999999999997,-14.400000000000006,2274000,1,black,green,yellow,blue,green,purple,yellow,purple,red
2275,-35.40721740055741,-12.491746999484064,-48.10203491495943,6.98063589365421,49.65517241379311,22.06896551724138,-57.26536560058594,48.35859680175781,-75.2,56.0,2275000,1,black,green,green,red,yellow,orange,teal,green,red
2276,0.2815913096198841,40.39570041927024,32.87661754663115,0.646319001544839,-30.344827586206897,-22.06896551724138,21.779869079589844,-32.725791931152344,-51.2,49.599999999999994,2276000,1,black,blue,blue,green,blue,green,green,blue,orange
2277,16.80428924202812,66.7618936783868,62.425961392446936,1.126198144150905,-57.93103448275862,-77.24137931034483,39.79322052001953,-50.03351593017578,-51.2,8.0,2277000,1,black,blue,blue,green,blue,green,green,blue,green
2278,14.512021739887444,68.02830424744172,61.98512761809428,-3.9876012168066524,-55.172413793103445,-74.48275862068965,41.36756134033203,-56.78355407714844,65.6,-40.0,2278000,1,black,blue,blue,green,blue,green,green,blue,green
2279,10.89546975907598,67.56507101559484,53.86462309116581,-11.218256333176399,-63.44827586206897,24.827586206896555,39.452308654785156,-61.10102844238281,-28.799999999999997,38.400000000000006,2279000,1,black,blue,blue,green,blue,green,green,blue,green
2280,20.69035630245328,44.18797355651017,58.364861950388274,-9.41230733740116,-57.93103448275862,57.93103448275863,34.68760681152344,-24.4814453125,70.4,-33.6,2280000,1,black,blue,blue,green,blue,green,green,blue,purple
2281,38.01149910278484,46.02003689613338,62.14823840056414,0.9594370305711379,-80.0,19.310344827586206,55.320068359375,-8.790496826171875,16.0,-52.8,2281000,1,black,blue,blue,green,blue,green,green,blue,purple
2282,40.81305976816088,67.49644430640109,67.0753856553954,-3.6586252620574555,-57.93103448275862,-2.7586206896551744,52.91093444824219,-33.04754638671875,49.599999999999994,28.799999999999997,2282000,1,black,blue,blue,green,blue,green,green,blue,purple
2283,48.93096551026224,73.2084275272633,69.72921332648716,2.2521288079969395,-74.48275862068965,52.413793103448285,56.379180908203125,-15.637596130371094,59.19999999999999,-14.400000000000006,2283000,1,black,blue,blue,green,blue,green,green,blue,purple
2284,60.56611395909292,52.71618919636066,69.090042460044,2.1793295580529417,-63.44827586206897,38.62068965517241,63.005645751953125,-7.944313049316406,28.799999999999997,33.599999999999994,2284000,1,black,blue,blue,green,blue,green,green,blue,purple
2285,62.21765972655484,50.007320144297125,71.37382390860435,4.683274361173773,-74.48275862068965,-8.275862068965523,63.03192138671875,-8.866706848144531,60.80000000000001,36.8,2285000,1,black,blue,blue,green,blue,green,green,blue,purple
2286,64.0056876031779,57.168147528761835,67.65605369923975,0.03191445211353994,-63.44827586206897,-30.344827586206897,67.07489013671875,-14.219123840332031,-25.6,4.799999999999997,2286000,1,black,blue,blue,green,blue,green,green,blue,purple
2287,57.240549986135534,59.83483440960697,70.26370201421852,5.21078795882768,-80.0,66.20689655172413,61.126007080078125,-14.37860107421875,28.799999999999997,-11.200000000000003,2287000,1,black,blue,blue,green,blue,green,green,blue,purple
2288,64.08739176080786,60.536654049213354,75.04879452667168,4.415966513263072,-68.9655172413793,-11.034482758620683,66.33026123046875,-18.424556732177734,-8.0,-43.2,2288000,1,black,blue,blue,green,blue,green,green,blue,purple
2289,65.81875786708798,55.250118829946274,68.40656800259876,-1.5541934740989518,-80.0,-33.10344827586207,66.52215576171875,-13.195274353027344,-57.6,-9.599999999999994,2289000,1,black,blue,blue,green,blue,green,green,blue,purple
2290,66.27592849975255,51.870473846069245,68.16088623663686,-3.026527037130748,-71.72413793103448,2.7586206896551744,65.44973754882812,-11.291389465332031,-48.0,-62.4,2290000,1,black,blue,blue,green,blue,green,green,blue,purple
2291,65.39462120839016,59.578542527194,70.46822362558262,0.2153213677178627,-74.48275862068965,-16.551724137931032,68.65852355957031,-16.82058334350586,65.6,-68.8,2291000,1,black,blue,blue,green,blue,green,green,blue,purple
2292,48.979656001656394,47.59638757730136,67.01614872654264,-5.479536847097748,-74.48275862068965,11.034482758620683,49.82707214355469,5.5732574462890625,-56.0,-14.400000000000006,2292000,1,black,blue,blue,green,blue,green,green,blue,purple
2293,44.1337178439025,24.501890479399634,65.16405663015351,-5.070511035739855,-52.41379310344828,-38.62068965517241,44.24262237548828,0.0137176513671875,16.0,60.80000000000001,2293000,1,black,blue,blue,green,blue,green,green,blue,purple
2294,29.776699290391278,25.736830924914074,56.94964076761275,-11.322707272517462,-41.37931034482759,22.06896551724138,29.94495391845703,5.2846832275390625,-25.6,60.80000000000001,2294000,1,black,blue,blue,green,blue,green,green,blue,purple
2295,51.56597941948368,54.018189321987194,64.64208699865188,4.20653195336368,-80.0,-38.62068965517241,52.27522277832031,-8.288307189941406,76.80000000000001,-19.200000000000003,2295000,1,black,blue,blue,green,blue,green,green,blue,purple
2296,33.59815693432655,-0.1285311904713069,25.689168661344652,-7.68148865542652,-35.86206896551724,41.37931034482759,7.509521484375,17.844879150390625,3.200000000000003,0.0,2296000,1,black,blue,blue,green,blue,green,green,blue,blue
2297,-3.8319930667255164,-1.3084824522499616,-27.92324436863433,-34.910309986062394,35.86206896551724,-19.310344827586206,-38.959415435791016,12.792594909667969,33.599999999999994,-6.400000000000006,2297000,1,black,green,yellow,blue,green,yellow,red,orange,orange
2298,5.416523931091973,-8.231956917619542,-27.536559243425415,-47.914418938723976,13.793103448275858,-46.89655172413793,-30.21723175048828,23.30854034423828,6.400000000000006,-78.4,2298000,1,black,green,yellow,blue,purple,yellow,red,orange,yellow
2299,-13.521414275820163,-16.863404837105676,-19.39902701286192,-1.463529100478027,5.517241379310349,57.93103448275863,-38.827022552490234,72.83917236328125,8.0,25.599999999999994,2299000,1,black,green,yellow,blue,purple,blue,purple,teal,yellow
2300,-5.2724672904719085,-53.39679390538434,-41.68966157970586,-12.94244064662385,38.62068965517241,-71.72413793103448,-48.12584686279297,3.1930007934570312,59.19999999999999,-35.2,2300000,1,black,green,yellow,blue,purple,purple,purple,teal,purple
2301,-8.740358482184291,-36.22070026387324,-45.443995502521496,-6.809996384610869,71.72413793103448,80.0,-51.31410598754883,60.2706298828125,-56.0,-11.200000000000003,2301000,1,black,green,yellow,blue,purple,red,blue,red,teal
2302,-33.876945880119216,-26.219005218657706,-40.80023091716083,47.93587285135075,-8.275862068965523,-41.37931034482759,-69.91947174072266,52.49412536621094,-72.0,-3.200000000000003,2302000,1,black,green,green,yellow,red,blue,orange,yellow,black
2303,6.87119639099366,-51.22810223583137,-29.530704563307978,-36.1736190247822,-11.034482758620683,60.68965517241378,-50.179649353027344,26.237510681152344,40.0,-12.799999999999997,2303000,1,black,green,yellow,blue,purple,purple,purple,teal,yellow
2304,2.797814502779417,-31.74836722739336,-61.283766466934836,-16.35788596931208,-27.586206896551722,80.0,-40.633018493652344,20.286705017089844,24.0,-11.200000000000003,2304000,1,black,green,yellow,blue,green,purple,yellow,red,black
2305,-21.50371150670624,-16.344450204430494,-48.40882117463365,21.354431040534323,-22.06896551724138,-66.20689655172414,-50.89543914794922,75.19813537597656,-64.0,-36.8,2305000,1,black,green,green,yellow,red,blue,purple,teal,brown
2306,-24.372896623927055,-34.202877520409984,-48.52942916597229,14.155227935136125,-11.034482758620683,13.793103448275858,-58.86876678466797,8.747207641601562,-41.6,-22.4,2306000,1,black,green,green,red,green,red,blue,brown,blue
2307,-61.11158229529647,-41.01181306495042,-58.54627019907315,5.141549153375607,-30.344827586206897,66.20689655172413,-58.38566589355469,29.54351806640625,-65.6,-1.5999999999999943,2307000,1,black,green,green,red,yellow,orange,teal,green,blue
2308,-38.94646450225595,-60.96702846854325,-52.85411766349873,53.211979435142126,52.413793103448285,38.62068965517241,-76.23815155029297,18.725608825683594,-72.0,4.799999999999997,2308000,1,black,green,green,yellow,red,blue,orange,brown,green
2309,-57.36533360276164,-13.843144031806673,-53.07719486819398,8.915016107521083,8.275862068965523,-27.586206896551722,-57.734901428222656,53.77001953125,70.4,-65.6,2309000,1,black,green,green,red,yellow,orange,teal,green,teal
2310,-27.854182172325068,-29.56857943472079,-57.56622539774844,-6.215429636578278,80.0,13.793103448275858,-53.60667419433594,4.012001037597656,-46.4,-17.6,2310000,1,black,green,yellow,red,green,red,blue,brown,blue
2311,-61.13152681177753,-20.452907921943456,-67.32466145648617,5.126353495957602,22.06896551724138,-30.344827586206897,-52.94148254394531,38.88374328613281,-12.799999999999997,11.200000000000003,2311000,1,black,green,green,red,yellow,orange,teal,green,teal
2312,-36.89022327601492,-27.435502298577624,-47.51714279340283,47.28587809144908,33.103448275862064,66.20689655172413,-73.51622009277344,47.82890319824219,76.80000000000001,36.8,2312000,1,black,green,green,yellow,red,blue,orange,yellow,black
2313,-61.4652289147304,-6.878328512875115,-76.50107362531149,4.408539699670484,11.034482758620683,27.58620689655173,-63.67717361450195,37.941436767578125,33.599999999999994,-78.4,2313000,1,black,green,green,red,yellow,orange,teal,green,teal
2314,-46.44207594203114,-39.8665326496337,-68.69929635503031,45.128705087701405,55.17241379310346,80.0,-72.94063568115234,25.60211181640625,-25.6,40.0,2314000,1,black,green,green,red,yellow,red,blue,brown,blue
2315,-35.231246320127134,-24.28472983923463,-48.978096749388875,55.46983873999716,27.58620689655173,66.20689655172413,-68.55508422851562,59.65702819824219,57.599999999999994,57.599999999999994,2315000,1,black,green,green,yellow,red,blue,orange,yellow,black
2316,-59.20611417032583,-5.785473367057477,-60.3593741706957,-1.0354964645912617,-33.10344827586207,68.9655172413793,-61.45552444458008,34.848541259765625,56.0,-54.4,2316000,1,black,green,green,red,yellow,orange,teal,green,teal
2317,-79.9924064588913,-15.924031040454935,-37.296460587322336,30.1781656921639,66.20689655172413,30.34482758620689,-71.04027557373047,29.20142364501953,-19.200000000000003,-19.200000000000003,2317000,1,black,green,green,red,yellow,orange,teal,brown,blue
2318,-45.14155022674643,-22.461737895038404,-41.95015318939072,65.57693319434082,27.58620689655173,80.0,-76.2787857055664,50.42265319824219,-6.400000000000006,28.799999999999997,2318000,1,black,green,green,yellow,red,blue,orange,yellow,black
2319,-24.423006893734986,4.9506584969680745,-43.46802264789688,-5.568626706512376,-35.86206896551724,55.17241379310346,-47.91009521484375,36.287872314453125,76.80000000000001,-9.599999999999994,2319000,1,black,green,yellow,red,purple,yellow,red,red,brown
2320,-56.472069119858716,-17.129881712266027,-44.051260254041516,28.648798803669138,24.827586206896555,30.34482758620689,-61.67002487182617,48.775665283203125,-36.8,-56.0,2320000,1,black,green,green,yellow,red,orange,teal,green,teal
2321,-5.614388418659502,-24.85925550647992,-43.414946738468096,-14.028435513744583,24.827586206896555,-19.310344827586206,-43.499393463134766,27.912925720214844,36.8,-32.0,2321000,1,black,green,yellow,red,yellow,orange,red,orange,brown
2322,-40.45835785573209,-37.43322859150392,-50.002894294627694,37.98214105262538,33.103448275862064,63.448275862068954,-76.66641235351562,19.024993896484375,78.4,48.0,2322000,1,black,green,green,yellow,red,blue,orange,yellow,black
2323,-67.31757753121094,-28.65540674294509,-51.54642441220459,-25.485842862857922,52.413793103448285,-8.275862068965523,-58.867225646972656,27.24920654296875,49.599999999999994,-57.6,2323000,1,black,green,yellow,blue,green,purple,yellow,purple,teal
2324,-13.145382415394451,-62.016846392759405,-46.840939095692136,-32.15330256050893,80.0,-71.72413793103448,-51.67295455932617,-19.015037536621094,-30.4,16.0,2324000,1,black,green,yellow,blue,green,purple,yellow,purple,black
2325,-24.375729998362353,-13.232992498425673,-49.500720585068144,14.70898084611619,0.0,55.17241379310346,-53.58747100830078,74.68890380859375,-33.6,-54.4,2325000,1,black,green,green,yellow,red,blue,purple,yellow,brown
2326,-23.302428458169388,-20.413537154249077,-45.584617529146236,18.991942166821673,2.7586206896551744,41.37931034482759,-52.385337829589844,61.2271728515625,-78.4,-16.0,2326000,1,black,green,green,yellow,yellow,orange,teal,green,red
2327,1.908244713739009,37.92509764511897,30.790528551925348,19.4926783676909,-38.62068965517241,-13.793103448275858,23.210556030273438,-33.14569854736328,-25.6,20.799999999999997,2327000,1,black,blue,blue,green,blue,green,green,blue,orange
2328,37.71372308666179,59.747489352884685,68.46186275894374,5.7759195488442,-80.0,-41.37931034482759,51.169708251953125,-22.342342376708984,19.200000000000003,-56.0,2328000,1,black,blue,blue,green,blue,green,green,blue,purple
